Cluster,Feature_set_index,Feature_set_code,Model,train_rmse,val_rmse,train_r2,val_r2,overfit,bias,best_params,grid_best_score
all_data,44,G1 + G2 + species + PCs,XGB,0.14969594606774214,0.31526286754140803,0.9110193335445306,0.6417061793814418,0.26931315416308876,-0.005439664686110639,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.3795761497549512
all_data,45,G1 + G2 + species + Physicochemical + Fps,LR,0.3752967468039539,0.4689564755906283,0.4407252977972912,0.20720893007406993,0.23351636772322126,-0.012482437827309243,,
all_data,45,G1 + G2 + species + Physicochemical + Fps,RF,0.2714699842329949,0.3497408272585014,0.7073697549362005,0.5590530518932477,0.14831670304295275,-0.019657271263394706,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3950387037126501
all_data,45,G1 + G2 + species + Physicochemical + Fps,XGB,0.11290141167939097,0.2904931640782672,0.9493855735334747,0.6957955875706958,0.25358998596277893,-0.009293276150839849,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.3831783441703472
all_data,46,G1 + G2 + species + Physicochemical + PCs,LR,0.4290725937123779,0.5161444904850367,0.2689667565575584,0.039635126256027386,0.22933163030153103,-0.019108293738563466,,
all_data,46,G1 + G2 + species + Physicochemical + PCs,RF,0.22572053332219352,0.3462830636766701,0.7976898318484535,0.5677289235341008,0.22996090831435279,-0.01754772919130495,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.397360522961484
all_data,46,G1 + G2 + species + Physicochemical + PCs,XGB,0.12914450494883237,0.30456986501052297,0.9337741655330966,0.6655990236174507,0.26817514191564584,-0.008031333914287354,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.3811820013051314
all_data,47,G1 + G2 + species + Fps + PCs,LR,0.3765899360482214,0.4685353075380281,0.4368643844709953,0.2086322960025454,0.2282320884684499,-0.012770831822926673,,
all_data,47,G1 + G2 + species + Fps + PCs,RF,0.23905806545021369,0.33470183474534093,0.7730749828186169,0.5961595089807855,0.17691547383783135,-0.01638850617458547,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.39381639556535625
all_data,47,G1 + G2 + species + Fps + PCs,XGB,0.1420769196804011,0.3060628446602651,0.9198464723174575,0.6623125690899965,0.25753390322746106,-0.006021368533035602,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.38380573986955885
all_data,48,G1 + G2 + species + Physicochemical + Fps + PCs,LR,0.375296746803954,0.46895647559062786,0.44072529779729086,0.20720893007407148,0.23351636772321938,-0.0124824378273097,,
all_data,48,G1 + G2 + species + Physicochemical + Fps + PCs,RF,0.24129182176833633,0.3538517557193914,0.768814399500827,0.5486261605710234,0.22018823892980355,-0.01881280132132161,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.3971389806814118
all_data,48,G1 + G2 + species + Physicochemical + Fps + PCs,XGB,0.1319990151494537,0.29329780459570415,0.9308142015348887,0.6898931928274321,0.24092100870745659,-0.007794558576347561,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.3792643045178698
